notebook_path,relative_notebook_path,function_name,cell_number_1_based,cell_index_0_based,position_ratio,line_in_cell,preceding_heading,cell_stage,cell_line_count,first_use_cell_after_def_1_based,cell_gap_to_first_use,call_count_excluding_def_lines,modified_vs_head_before_audit
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Download Dataset Script.ipynb,Training/Download Dataset Script.ipynb,list_repo_files_with_status,7,6,0.25,12,## Repo Listing,dataset loading; function definitions,42,,,0,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,first_existing_path,5,4,0.25,16,"### Imports, Configuration and Paths",dataset loading; feature preparation; training; outputs/saving; function definitions,101,7,2,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,parse_bona_fide_metadata,5,4,0.25,43,"### Imports, Configuration and Paths",dataset loading; feature preparation; training; outputs/saving; function definitions,101,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,parse_synthetic_metadata,5,4,0.25,33,"### Imports, Configuration and Paths",dataset loading; feature preparation; training; outputs/saving; function definitions,101,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,read_audio_metadata,5,4,0.25,79,"### Imports, Configuration and Paths",dataset loading; feature preparation; training; outputs/saving; function definitions,101,11,6,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,resolve_project_root,5,4,0.25,1,"### Imports, Configuration and Paths",dataset loading; feature preparation; training; outputs/saving; function definitions,101,7,2,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,scan_audio_paths,5,4,0.25,50,"### Imports, Configuration and Paths",dataset loading; feature preparation; training; outputs/saving; function definitions,101,9,4,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,mount_drive_if_colab,6,5,0.3125,4,"### Imports, Configuration and Paths",imports/setup; function definitions,12,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Analysis_PCA_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Analysis_PCA_MFCC.ipynb,mount_drive_if_colab,13,12,0.2264,4,### Dataset Paths,imports/setup; function definitions,12,,,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Analysis_PCA_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Analysis_PCA_MFCC.ipynb,scan_audio_files,18,17,0.3208,4,### Dataset Loading / Audio File Scan,dataset loading; outputs/saving; function definitions,21,20,2,2,True
