notebook_path,relative_notebook_path,tracked_in_git,modified_vs_head_before_audit,file_size_bytes,sha256_before,working_tree_parse_error,head_parse_error,current_cell_count,current_code_cells,current_markdown_cells,current_function_defs,head_cell_count,head_function_defs
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Download Dataset Script.ipynb,Training/Download Dataset Script.ipynb,True,False,14299,88961328273ce7623cb1f6af8008f110e1cb2cfbadd464cb62f493a83b4cdbef,,,25,8,17,1,25,1
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,True,False,143571,bf7771ccfb2a40f936dd838c67fdf817d53e4ad8aa7acc4cd46a5f17f63a8247,,,17,10,7,7,17,7
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Analysis_PCA_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Analysis_PCA_MFCC.ipynb,True,True,379008,e6f83d017e95201a7d30e9d6b1f8da5053f21293c55afefb27db39f440c9a2e6,,,54,18,36,6,57,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Importance_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Importance_MFCC.ipynb,True,False,295832,c1d640d73cb43a8aca6180c835ebd4cd81ecf92cc11b1a40ee25ae226adf38b1,,,17,11,6,4,17,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\MLAAD_Scan_MFCC_Analysis_cache.ipynb,Training/Model Variants/Analysis/MLAAD_Scan_MFCC_Analysis_cache.ipynb,True,False,153119,c249589393c5295aeb18be6546e3e7d7b5fb215343ad0123a28ff48171d8ec76,,,41,14,27,5,41,5
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Baseline.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Baseline.ipynb,True,False,165015,4d27eabf66fae60378cd62a66253a42fedaf0843c7a24427949aca56cc6cbe8a,,,57,19,38,6,57,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_ColsampleBytree_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_ColsampleBytree_Trial.ipynb,True,False,42812,e0aadf6b6a228374bbcc7466e8669888eb180d36a18463ca716af138f0dad4cd,,,20,7,13,4,20,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Final_Selected_Model.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Final_Selected_Model.ipynb,True,False,106061,359ce08af833a6559b2385489e1f573637a255ab619e09427ec04fc4d95652ec,,,34,11,23,4,34,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_LearningRate_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_LearningRate_Trial.ipynb,True,False,86690,a562bcf9473fbee220a987f96357c3b4c1d54e199137521ba2761f6477c3d9e4,,,43,15,28,6,43,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_MaxDepth_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_MaxDepth_Trial.ipynb,True,False,87296,778f7c949ebb3824ea93bbc92baca4639318d991af63d1897c8b8be52b7dfa99,,,44,15,29,6,44,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_NEstimators_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_NEstimators_Trial.ipynb,True,False,87848,dbcabd6a3c7f2d20b4e85e9851fd182befc52ccce1c4b6ceb997e2938e7cd7fd,,,45,15,30,6,45,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Subsample_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Subsample_Trial.ipynb,True,False,34200,01734672b9b96dea79e1f6b415c0f654653bc2c2a85ad4142f68ce865c8a9b21,,,21,7,14,4,21,4
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Trial_Comparison.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Trial_Comparison.ipynb,True,False,40220,04d61e24f9373ab0cdf3328afb281ed677641a2497e31b930c3910bacf7515d3,,,3,2,1,2,3,2
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,True,True,165531,0fd373021a7d701a3323d841269485733d21421699dd07f914b83a4dc1ac362e,,,59,19,40,6,62,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,True,True,161308,399fd92ed160bd473919eac3ab07c3a80cfb4cc876677bf34499739da586884f,,,59,19,40,6,62,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxDepth_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxDepth_Trial.ipynb,True,False,108873,886a16fc73b2a257a333e4dd25d80c0124898c9df6c5e39269317af25e9f204f,,,46,15,31,6,46,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxFeatures_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxFeatures_Trial.ipynb,True,False,108008,722879151cef9c99d3788fb09709a05af7ed2ab345980528e1afad8bee53cc1c,,,46,15,31,6,46,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MinSamplesLeaf_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MinSamplesLeaf_Trial.ipynb,True,False,108218,b76de97e0aed175ffcceea4d765adf39d9c64b270c6f79ae83750710af325dd0,,,46,15,31,6,46,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MinSamplesSplit_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MinSamplesSplit_Trial.ipynb,True,False,108251,929c387b396a982391137602825c0e12c6abce557f2d80d8068d85482c35325e,,,46,15,31,6,46,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_NEstimators_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_NEstimators_Trial.ipynb,True,False,108940,caf86db4695d44cc76c3e8e7e81fa2ef81d15bee60765cac658116b66b870a3c,,,46,15,31,6,46,6
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Trial_Comparison.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Trial_Comparison.ipynb,True,False,44884,7414734e3fb62b139d9490224f6c6ce1e32c98e8b4dc9bb904c8242028a2a1d2,,,3,2,1,0,3,0
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Baseline.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Baseline.ipynb,True,False,38215,4fb607521c9ee76a9ba3ec2c6c6e3b2aca7b2af2faf1b459dcb62e1143149c2d,,,12,6,6,15,12,15
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Controlled_Trial_Comparison.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Controlled_Trial_Comparison.ipynb,True,False,46303,813c7666551ca8a2376875e377665471f8144ca258d1bccb52cffcf87e92f17c,,,6,3,3,10,6,10
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,True,False,29184,d6e64e7ec9d55453ae0ab1c52a9c7196657d7c650d8e6731a263739771f36601,,,12,6,6,11,12,11
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,True,False,78694,6815f4876fee58885859d96a18f1ada42bce07b4e0c5487eacb50162c6d26767,,,12,6,6,21,12,21
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,True,False,84944,04b619763e7a2f071aaa342006d53cedf7c6c8ba15d27cbf894dab2c9a0a5a51,,,12,6,6,21,12,21
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,True,False,75521,5cf70937797217d9b8a268e1df43f4307b6c125f13325ebb722e1ff2eb42ec7c,,,12,6,6,21,12,21
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Final_Selected_Model.ipynb,True,False,41305,bdde5ff87b861382118db9bdd56570b251c7971e061bda9c19838c24c3ea88ff,,,10,5,5,16,10,16
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Genetic_Algorithm.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Genetic_Algorithm.ipynb,True,False,230970,43cad4ced275798315f2512347623644ed34b108fcccd5112c1fff8ee58bcedd,,,11,5,6,20,11,20
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_HPO_Comparison.ipynb,True,False,146666,b5f8b2ea85ed4b241f0a61df1555fc15200d63dd329c57eada7015c06e5bf27b,,,14,7,7,21,14,21
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Kernel_Size_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Kernel_Size_Trial.ipynb,True,False,57731,8444be48ebc21cfe59c1a2bad978910e0c9779099e9a267dc87806da14b19970,,,12,6,6,21,12,21
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_LearningRate_BatchSize_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_LearningRate_BatchSize_Trial.ipynb,True,False,52529,75050fed61a7e7411d511faa77008042f40c71ced750b2cef80f070be064bf4a,,,10,5,5,19,10,19
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Random_Search.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Random_Search.ipynb,True,False,228492,d922804d515d0d4d6a24f84dc1db34e3770517d86d3a063b05b431f929d4cd90,,,10,5,5,17,10,17
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Activation_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Activation_Trial.ipynb,True,False,61776,04afff8235868f59b7da420a02f10234fd5a2aea1a38860bb39f778c44dd76d6,,,14,7,7,20,14,20
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Architecture_Trial.ipynb,True,False,98055,2fa99337c5131b093cae714fbaf27af14f3dc8d634f9d167cb6627f0777b2bc0,,,14,7,7,20,14,20
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Baseline.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Baseline.ipynb,True,False,35374,61b1e4444d294988074b1e970e6856a57d7deb24552282547918e032625370a4,,,12,6,6,15,12,15
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Controlled_Trial_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Controlled_Trial_Comparison.ipynb,True,False,46497,399e3492a04accf7b243b3d5156dddf6a23477b6ff2fa3ee57eee005e8178940,,,8,4,4,10,8,10
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Dropout_Regularisation_Trial.ipynb,True,False,89760,c368223da4b3606de1e3f101c99614439908b85efca2a8256621b42f60fe48bf,,,14,7,7,20,14,20
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Final_Selected_Model.ipynb,True,False,40485,02576261e1d00fecea35aff22e08fa76887431009581dda24fc3a191a1547e93,,,12,6,6,16,12,16
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Genetic_Algorithm.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Genetic_Algorithm.ipynb,True,False,168427,7c213d126e0a95e09b58d63e7fc073e2e5fb8405dde6bc09d6efa29f8fb34cc3,,,12,6,6,20,12,20
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_HPO_Comparison.ipynb,True,False,140675,e97f0284f3e6d5b88fd7abbebf865cedf1d726ea7545d3c1d67e3d6c234d7683,,,16,8,8,21,16,21
