notebook_path,relative_notebook_path,tracked_in_git,modified_vs_head_before_audit,head_cell_count,current_cell_count,cell_count_delta,head_function_defs,current_function_defs,function_def_delta,exact_source_cells_added,exact_source_cells_removed,exact_source_cells_moved,functions_moved_earlier_vs_head,git_insertions,git_deletions
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Analysis_PCA_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Analysis_PCA_MFCC.ipynb,True,True,57,54,-3,6,6,0,0,3,0,,0,243
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,True,True,62,59,-3,6,6,0,0,3,0,,332,568
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,True,True,62,59,-3,6,6,0,0,3,0,,328,564
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Baseline.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Baseline.ipynb,True,True,61,58,-3,6,6,0,0,3,0,,3248,1
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Regression\Logistic_Regression\Log_Regression_Final_Selected_Model.ipynb,Training/Model Variants/Regression/Logistic_Regression/Log_Regression_Final_Selected_Model.ipynb,True,True,61,58,-3,6,6,0,0,3,0,,3241,1
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Baseline.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Baseline.ipynb,True,True,61,58,-3,8,8,0,0,3,0,,257,324
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_C_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_C_Trial.ipynb,True,True,16,14,-2,4,4,0,0,2,0,,851,1
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Class_Weight_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Class_Weight_Trial.ipynb,True,True,16,14,-2,4,4,0,0,2,0,,803,1
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Data_Preparation.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Data_Preparation.ipynb,True,True,12,10,-2,8,8,0,0,2,0,,35,384
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Final_Selected_Model.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Final_Selected_Model.ipynb,True,True,20,18,-2,4,4,0,0,2,0,,1004,1
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Support Vector Machine\SupportVectorMachine_Gamma_Trial.ipynb,Training/Model Variants/Support Vector Machine/SupportVectorMachine_Gamma_Trial.ipynb,True,True,16,14,-2,4,4,0,0,2,0,,883,1
