notebook_path,relative_notebook_path,cell_number_1_based,cell_index_0_based,finding_type,severity,function_names,evidence,recommended_action
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Dataset_Sample_Rate.ipynb,Training/Model Variants/Analysis/Dataset_Sample_Rate.ipynb,5,4,early_dense_function_block,medium,resolve_project_root; first_existing_path; parse_synthetic_metadata; parse_bona_fide_metadata; scan_audio_paths; read_audio_metadata,"6 function definitions appear early at cell 5/17; heading=### Imports, Configuration and Paths; stage=dataset loading; feature preparation; training; outputs/saving; function definitions; first dataset cell=3; far-use functions=[]","Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Importance_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Importance_MFCC.ipynb,7,6,early_dense_function_block,medium,output_root_has_required_artifacts; find_outputs_root; resolve_project_root,3 function definitions appear early at cell 7/17; heading=### Setup; stage=outputs/saving; function definitions; first dataset cell=10; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (332 insertions, 568 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,,,large_notebook_diff_without_clear_function_move,medium,,"Git diff is large (328 insertions, 564 deletions), but exact function movement was not detected by source/name matching.","Review with notebook diff tooling. Large JSON diffs can hide cell reorder, metadata churn, or output changes."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Baseline.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Baseline.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 6/12; heading=## 2. Load CNN Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Baseline.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Baseline.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Controlled_Trial_Comparison.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Controlled_Trial_Comparison.ipynb,4,3,early_dense_function_block,medium,resolve_project_root; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results,7 function definitions appear early at cell 4/6; heading=## 1. Imports and Paths; stage=imports/setup; configuration/paths; dataset loading; training; evaluation; outputs/saving; function definitions; first dataset cell=4; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Controlled_Trial_Comparison.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Controlled_Trial_Comparison.ipynb,6,5,early_dense_function_block,medium,parse_list_value; top_values; domain_size,3 function definitions appear early at cell 6/6; heading=## 2. Load Results and Build Search Space; stage=dataset loading; outputs/saving; function definitions; first dataset cell=4; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Data_Preparation.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Data_Preparation.ipynb,8,7,early_dense_function_block,medium,parse_synthetic_metadata; parse_bona_fide_metadata; scan_audio_files,3 function definitions appear early at cell 8/12; heading=## 3. Corrected Metadata Scanner; stage=dataset loading; feature preparation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/12; heading=## 2. Load Cache and Previous Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; fir...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dense_Units_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dense_Units_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best; _controlled_candidate_label; run_controlled_trial,12 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/12; heading=## 2. Load Cache and Previous Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; fir...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Dropout_Regularisation_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best; _controlled_candidate_label; run_controlled_trial,12 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/12; heading=## 2. Load Cache and Previous Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; fir...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
