model,trial_parameter,trial_value,variant,accuracy,precision,recall,f1,C,penalty,solver,class_weight,source_file
Logistic Regression,C,100.0,C=100.0,0.9402677651905252,0.991980753809142,0.921072226358898,0.9552123552123551,100.0,l2,liblinear,balanced,logistic_regression_c_trial.csv
Logistic Regression,C,10.0,C=10.0,0.9387229660144182,0.9903846153846154,0.9203276247207745,0.9540717869548436,10.0,l2,liblinear,balanced,logistic_regression_c_trial.csv
Logistic Regression,class_weight,,class_weight=None,0.9366632337796088,0.9670750382848392,0.9404318689501115,0.9535673839184596,1.0,l2,liblinear,,logistic_regression_class_weight_trial.csv
Logistic Regression,penalty,l1,penalty=l1,0.9351184346035016,0.9911218724778048,0.9143708116157856,0.9512006196746708,1.0,l1,liblinear,balanced,logistic_regression_penalty_trial.csv
Logistic Regression,solver,lbfgs,solver=lbfgs,0.9284243048403708,0.9886363636363636,0.9069247952345496,0.9460194174757282,1.0,l2,lbfgs,balanced,logistic_regression_solver_trial.csv
Logistic Regression,solver,saga,solver=saga,0.927394438722966,0.9886178861788618,0.9054355919583024,0.945200155460552,1.0,l2,saga,balanced,logistic_regression_solver_trial.csv
Logistic Regression,solver,liblinear,solver=liblinear,0.925849639546859,0.9885900570497148,0.9032017870439316,0.9439688715953308,1.0,l2,liblinear,balanced,logistic_regression_solver_trial.csv
Logistic Regression,C,1.0,C=1.0,0.925849639546859,0.9885900570497148,0.9032017870439316,0.9439688715953308,1.0,l2,liblinear,balanced,logistic_regression_c_trial.csv
Logistic Regression,class_weight,balanced,class_weight=balanced,0.925849639546859,0.9885900570497148,0.9032017870439316,0.9439688715953308,1.0,l2,liblinear,balanced,logistic_regression_class_weight_trial.csv
Logistic Regression,penalty,l2,penalty=l2,0.925849639546859,0.9885900570497148,0.9032017870439316,0.9439688715953308,1.0,l2,liblinear,balanced,logistic_regression_penalty_trial.csv
Logistic Regression,C,0.1,C=0.1,0.9088568486096807,0.986644407345576,0.8801191362620998,0.9303423848878394,0.1,l2,liblinear,balanced,logistic_regression_c_trial.csv
Logistic Regression,C,0.01,C=0.01,0.8789907312049433,0.9809027777777778,0.8413998510796724,0.905811623246493,0.01,l2,liblinear,balanced,logistic_regression_c_trial.csv
