language,files,accuracy,precision,recall,f1
CaroTTS,19,1.0,1.0,1.0,1.0
Cartesia.ai (Sonic-3),10,1.0,1.0,1.0,1.0
Chatterbox Multilingual,13,1.0,1.0,1.0,1.0
DeepGram,13,0.7692307692307693,1.0,0.7692307692307693,0.8695652173913043
Edge-TTS,58,1.0,1.0,1.0,1.0
ElevenLabs-v2-Multilingual,9,1.0,1.0,1.0,1.0
ElevenLabs-v3,19,1.0,1.0,1.0,1.0
Fish-S2-Pro,61,0.9836065573770492,1.0,0.9836065573770492,0.9917355371900827
FishTTS,13,1.0,1.0,1.0,1.0
Higgs-Audio-V2,20,0.5,1.0,0.5,0.6666666666666666
Hume TADA-3B-ML,33,0.9393939393939394,1.0,0.9393939393939394,0.96875
IndicF5,26,1.0,1.0,1.0,1.0
Indri-TTS-0.1,16,0.75,1.0,0.75,0.8571428571428571
Kani-TTS-370M,27,1.0,1.0,1.0,1.0
Kitten-TTS-Nano-0.1,11,1.0,1.0,1.0,1.0
Kitten-TTS-Nano-0.2,16,1.0,1.0,1.0,1.0
KugelAudio,30,0.7333333333333333,1.0,0.7333333333333333,0.8461538461538461
Kyutai-TTS,17,0.9411764705882353,1.0,0.9411764705882353,0.9696969696969697
LEMAS-TTS,34,0.9705882352941176,1.0,0.9705882352941176,0.9850746268656716
LFM2.5-Audio,11,1.0,1.0,1.0,1.0
Llasa-1B,17,0.5882352941176471,1.0,0.5882352941176471,0.7407407407407407
Llasa-1B-Multilingual,30,0.7,1.0,0.7,0.8235294117647058
Llasa-3B,12,0.5,1.0,0.5,0.6666666666666666
Llasa-8B,13,0.6923076923076923,1.0,0.6923076923076923,0.8181818181818182
LongCat-AudioDiT,15,0.2,1.0,0.2,0.3333333333333333
LuxTTS,10,0.7,1.0,0.7,0.8235294117647058
MOSS-TTS-1.7B,33,0.9696969696969697,1.0,0.9696969696969697,0.9846153846153847
MOSS-TTS-8B,13,1.0,1.0,1.0,1.0
Mars5,15,0.8,1.0,0.8,0.8888888888888888
Marvis-TTS,15,1.0,1.0,1.0,1.0
MatchaTTS,18,1.0,1.0,1.0,1.0
Maya1 TTS,15,1.0,1.0,1.0,1.0
MegaTTS3,15,1.0,1.0,1.0,1.0
MeloTTS,22,1.0,1.0,1.0,1.0
Metavoice-1B,12,1.0,1.0,1.0,1.0
Microsoft VibeVoice 1.5B,10,0.9,1.0,0.9,0.9473684210526315
Microsoft VibeVoice Large,12,0.5833333333333334,1.0,0.5833333333333334,0.7368421052631579
MingTTS,20,1.0,1.0,1.0,1.0
MiniCPM-o-2.6,12,1.0,1.0,1.0,1.0
MiraTTS,20,1.0,1.0,1.0,1.0
OmniVoice,64,0.953125,1.0,0.953125,0.976
OpenAI TTS-1 HD,21,1.0,1.0,1.0,1.0
OpenVoiceV2,7,0.0,0.0,0.0,0.0
OuteTTS,28,0.9285714285714286,1.0,0.9285714285714286,0.9629629629629629
Qwen3-TTS-12Hz-0.6B-Base,12,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091
Qwen3-TTS-12Hz-1.7B-Base,11,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523
RVC,20,0.95,1.0,0.95,0.9743589743589743
Veena,8,1.0,1.0,1.0,1.0
VoXtream2,12,1.0,1.0,1.0,1.0
VoxCPM-0.5B,13,0.3076923076923077,1.0,0.3076923076923077,0.47058823529411764
VoxCPM-1.5,21,0.9047619047619048,1.0,0.9047619047619048,0.95
VoxCPM2,37,1.0,1.0,1.0,1.0
Voxtral,44,1.0,1.0,1.0,1.0
Voxtream,11,1.0,1.0,1.0,1.0
WhisperSpeech,10,1.0,1.0,1.0,1.0
YarnGPT,12,1.0,1.0,1.0,1.0
ZipVoice,11,1.0,1.0,1.0,1.0
de,111,0.8558558558558559,0.0,0.0,0.0
en,489,0.983640081799591,0.0,0.0,0.0
facebook_mms-tts-deu,14,1.0,1.0,1.0,1.0
griffin_lim,26,0.8076923076923077,1.0,0.8076923076923077,0.8936170212765957
kokoro,15,1.0,1.0,1.0,1.0
microsoft_speecht5_tts,11,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523
minimax_speech-02-turbo,24,1.0,1.0,1.0,1.0
tts_models_bg_cv_vits,17,1.0,1.0,1.0,1.0
tts_models_bn_custom_vits-male,5,1.0,1.0,1.0,1.0
tts_models_cs_cv_vits,16,1.0,1.0,1.0,1.0
tts_models_da_cv_vits,10,0.7,1.0,0.7,0.8235294117647058
tts_models_fr_css10_vits,13,1.0,1.0,1.0,1.0
tts_models_ga_cv_vits,13,1.0,1.0,1.0,1.0
vixTTS,24,1.0,1.0,1.0,1.0
zonosTTS-v0.1,19,1.0,1.0,1.0,1.0
