component,explained_variance_ratio,cumulative_explained_variance
1,0.28635,0.28635
2,0.11351565,0.39986566
3,0.09606911,0.49593478
4,0.070105284,0.56604004
5,0.04656281,0.61260283
6,0.032548316,0.64515114
7,0.023119293,0.6682704
8,0.020227164,0.68849754
9,0.017646022,0.70614356
10,0.01653358,0.7226771
11,0.013925975,0.7366031
12,0.0131968185,0.7497999
13,0.012586064,0.76238596
14,0.011030628,0.7734166
15,0.010624505,0.7840411
16,0.009726302,0.7937674
17,0.009119778,0.80288714
18,0.008598571,0.8114857
19,0.008056411,0.8195421
20,0.007907274,0.8274494
21,0.007438028,0.8348874
22,0.0072320164,0.8421194
23,0.006827975,0.84894735
24,0.0065438584,0.8554912
25,0.0061644483,0.86165565
26,0.005967216,0.86762285
27,0.0058312435,0.8734541
28,0.0053698765,0.878824
29,0.0053271623,0.88415116
30,0.0051407195,0.8892919
31,0.0050574862,0.8943494
32,0.0046822545,0.89903164
33,0.0045707724,0.9036024
34,0.0043205335,0.907923
35,0.0042663827,0.91218936
36,0.0039440505,0.9161334
37,0.0038908164,0.9200242
38,0.003784131,0.92380834
39,0.0036739626,0.9274823
40,0.0035273375,0.93100965
41,0.0034789285,0.9344886
42,0.0034253402,0.93791395
43,0.0032451923,0.9411591
44,0.0030756514,0.9442348
45,0.0030070152,0.9472418
46,0.0029930999,0.9502349
