model,trial_parameter,trial_value,variant,accuracy,precision,recall,f1,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,source_file
Random Forest,n_estimators,500,n_estimators=500,0.927394438722966,0.9355072463768116,0.9612807148175726,0.9482188762394418,500,,2,1,sqrt,random_forest_n_estimators_trial.csv
Random Forest,n_estimators,300,n_estimators=300,0.9237899073120496,0.933914306463326,0.9575577066269546,0.9455882352941176,300,,2,1,sqrt,random_forest_n_estimators_trial.csv
Random Forest,max_features,log2,max_features=log2,0.923274974253347,0.929496402877698,0.9620253164556962,0.9454811562385655,200,,2,1,log2,random_forest_max_features_trial.csv
Random Forest,max_depth,20.0,max_depth=20,0.9237899073120496,0.9358132749817653,0.9553239017125836,0.9454679439941046,200,20.0,2,1,sqrt,random_forest_max_depth_trial.csv
Random Forest,n_estimators,200,n_estimators=200,0.9227600411946448,0.9325598259608412,0.9575577066269546,0.9448934606906686,200,,2,1,sqrt,random_forest_n_estimators_trial.csv
Random Forest,min_samples_split,2,min_samples_split=2,0.9227600411946448,0.9325598259608412,0.9575577066269546,0.9448934606906686,200,,2,1,sqrt,random_forest_min_samples_split_trial.csv
Random Forest,max_features,sqrt,max_features=sqrt,0.9227600411946448,0.9325598259608412,0.9575577066269546,0.9448934606906686,200,,2,1,sqrt,random_forest_max_features_trial.csv
Random Forest,min_samples_leaf,1,min_samples_leaf=1,0.9227600411946448,0.9325598259608412,0.9575577066269546,0.9448934606906686,200,,2,1,sqrt,random_forest_min_samples_leaf_trial.csv
Random Forest,max_depth,,max_depth=None,0.9227600411946448,0.9325598259608412,0.9575577066269546,0.9448934606906686,200,,2,1,sqrt,random_forest_max_depth_trial.csv
Random Forest,n_estimators,100,n_estimators=100,0.92173017507724,0.9312092686459088,0.9575577066269546,0.9441997063142438,100,,2,1,sqrt,random_forest_n_estimators_trial.csv
Random Forest,min_samples_leaf,2,min_samples_leaf=2,0.92173017507724,0.93183466279913,0.956813104988831,0.9441587068332108,200,,2,2,sqrt,random_forest_min_samples_leaf_trial.csv
Random Forest,max_depth,30.0,max_depth=30,0.9212152420185376,0.9311594202898552,0.956813104988831,0.9438119720896072,200,30.0,2,1,sqrt,random_forest_max_depth_trial.csv
Random Forest,min_samples_split,5,min_samples_split=5,0.9207003089598352,0.9298626174981924,0.9575577066269546,0.9435069699192956,200,,5,1,sqrt,random_forest_min_samples_split_trial.csv
Random Forest,min_samples_leaf,4,min_samples_leaf=4,0.9201853759011328,0.931686046511628,0.95457930007446,0.9429937477013608,200,,2,4,sqrt,random_forest_min_samples_leaf_trial.csv
Random Forest,min_samples_split,10,min_samples_split=10,0.9155509783728116,0.9219756621331424,0.9590469099032016,0.94014598540146,200,,10,1,sqrt,random_forest_min_samples_split_trial.csv
Random Forest,max_depth,10.0,max_depth=10,0.9129763130792996,0.9328908554572272,0.9419210722263588,0.9373842163764358,200,10.0,2,1,sqrt,random_forest_max_depth_trial.csv
Random Forest,max_features,,max_features=None,0.9129763130792996,0.9380597014925374,0.93596425912137,0.9370108087961238,200,,2,1,,random_forest_max_features_trial.csv
