path,relative_path,label,class_name,language,file_size_mb,split
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/es/griffin_lim/angelina_38_delgado_f000014.wav,fake/es/griffin_lim/angelina_38_delgado_f000014.wav,1,synthetic,griffin_lim,0.2224559783935547,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/ZipVoice/silent_bullet_10_f000318.wav,fake/en/ZipVoice/silent_bullet_10_f000318.wav,1,synthetic,ZipVoice,0.4194908142089844,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/de/Fish-S2-Pro/altehaus_011_f000025.wav,fake/de/Fish-S2-Pro/altehaus_011_f000025.wav,1,synthetic,Fish-S2-Pro,0.2656669616699219,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/en/northandsouth_30_f000042.wav,en/en/northandsouth_30_f000042.wav,0,bona_fide,en,0.21552467346191406,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/fr/RVC/l_ile_mysterieuse_3_10_f000040.wav,fake/fr/RVC/l_ile_mysterieuse_3_10_f000040.wav,1,synthetic,RVC,0.37434959411621094,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/en/midnight_passenger_09_f000062.wav,en/en/midnight_passenger_09_f000062.wav,0,bona_fide,en,0.29731178283691406,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/es/OmniVoice/quijote_vol1_06b_cervantes_f000029.wav,fake/es/OmniVoice/quijote_vol1_06b_cervantes_f000029.wav,1,synthetic,OmniVoice,0.16658782958984375,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/de/zweiplaneten_23_lasswitz_f000368.wav,en/de/zweiplaneten_23_lasswitz_f000368.wav,0,bona_fide,de,0.17960357666015625,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/Voxtream/northandsouth_28_f000250.wav,fake/en/Voxtream/northandsouth_28_f000250.wav,1,synthetic,Voxtream,0.2692070007324219,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/en/wives_and_daughters_41_f000020.wav,en/en/wives_and_daughters_41_f000020.wav,0,bona_fide,en,0.10383033752441406,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/MeloTTS/pink_fairy_book_26_f000076.wav,fake/en/MeloTTS/pink_fairy_book_26_f000076.wav,1,synthetic,MeloTTS,0.38642311096191406,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/es/Edge-TTS/bailen_22_perezgaldos_f000057.wav,fake/es/Edge-TTS/bailen_22_perezgaldos_f000057.wav,1,synthetic,Edge-TTS,0.15952301025390625,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/bg/tts_models_bg_cv_vits/wives_and_daughters_49_f000021.wav,fake/bg/tts_models_bg_cv_vits/wives_and_daughters_49_f000021.wav,1,synthetic,tts_models_bg_cv_vits,0.3809318542480469,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/en/wives_and_daughters_04_f000145.wav,en/en/wives_and_daughters_04_f000145.wav,0,bona_fide,en,0.31287574768066406,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/es/Hume TADA-3B-ML/arapiles_39_perezgaldos_f000072.wav,fake/es/Hume TADA-3B-ML/arapiles_39_perezgaldos_f000072.wav,1,synthetic,Hume TADA-3B-ML,0.127044677734375,train
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/MOSS-TTS-1.7B/wives_and_daughters_37_f000241.wav,fake/en/MOSS-TTS-1.7B/wives_and_daughters_37_f000241.wav,1,synthetic,MOSS-TTS-1.7B,0.3533210754394531,train
