path,class_name,mfcc_shape,mfcc_mean,mfcc_std
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/en/northandsouth_30_f000188.wav,bona_fide,"(40, 502)",-7.675040245056152,68.5244369506836
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/MeloTTS/pink_fairy_book_26_f000076.wav,synthetic,"(40, 502)",-9.081960678100586,67.16482543945312
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/LEMAS-TTS/midnight_passenger_07_f000200.wav,synthetic,"(40, 502)",-5.568228721618652,58.03887176513672
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/de/FishTTS/zweiplaneten_57_lasswitz_f000070.wav,synthetic,"(40, 502)",-8.984871864318848,63.69147491455078
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/Kitten-TTS-Nano-0.1/wives_and_daughters_52_f000152.wav,synthetic,"(40, 502)",-2.896233081817627,67.57862854003906
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/es/Hume TADA-3B-ML/lacondenada_15_blasco_f000150.wav,synthetic,"(40, 502)",-8.572330474853516,72.90838623046875
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/Indri-TTS-0.1/hunters_space_18_f000007.wav,synthetic,"(40, 502)",-5.378552436828613,64.4927978515625
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/VoxCPM2/poisoned_pen_06_f000128.wav,synthetic,"(40, 502)",-7.312264442443848,73.67388153076172
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/en/jane_eyre_37_f000301.wav,bona_fide,"(40, 502)",-14.041048049926758,97.08336639404297
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/M_AILABS_bona_fide_subset/en/en/midnight_passenger_13_f000106.wav,bona_fide,"(40, 502)",-8.036500930786133,70.20491027832031
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/Llasa-1B/wives_and_daughters_03_f000016.wav,synthetic,"(40, 502)",-11.629718780517578,67.95828247070312
/content/drive/MyDrive/Colab Notebooks/Education/INM701/Datasets/MLAAD_10pct/fake/en/vixTTS/hunters_space_09_f000049.wav,synthetic,"(40, 502)",-9.086612701416016,70.0836181640625
